11	4/17/2020 9:11:50 PM	1
28	4/17/2020 9:12:07 PM	62
6	4/17/2020 9:19:19 PM	1
12	4/17/2020 9:19:25 PM	62
13	4/17/2020 9:30:09 PM	1
55	4/17/2020 9:30:50 PM	0
3	4/17/2020 9:31:20 PM	1
4	4/17/2020 9:31:21 PM	5
29	4/17/2020 9:43:54 PM	1
36	4/17/2020 9:44:00 PM	62
5	4/17/2020 9:45:39 PM	1
13	4/17/2020 9:45:47 PM	61
9	4/17/2020 9:48:08 PM	1
20	4/17/2020 9:48:20 PM	61
5	4/17/2020 9:49:10 PM	1
6	4/17/2020 9:49:11 PM	61
1	4/17/2020 9:51:12 PM	1
8	4/17/2020 9:51:19 PM	7
7	4/17/2020 9:58:38 PM	1
15	4/17/2020 9:58:47 PM	7
6	4/17/2020 9:59:16 PM	1
6	4/17/2020 9:59:17 PM	62
1	4/27/2020 2:59:29 PM	1
2	4/27/2020 2:59:30 PM	53
0	4/27/2020 2:59:45 PM	1
1	4/27/2020 2:59:46 PM	94
0	4/27/2020 3:00:05 PM	1
1	4/27/2020 3:00:06 PM	94
5	4/27/2020 3:00:14 PM	1
4	4/27/2020 3:02:20 PM	1
2	4/27/2020 3:02:43 PM	1
2	4/27/2020 3:02:52 PM	1
4	4/27/2020 3:03:07 PM	1
1	4/27/2020 3:06:02 PM	1
8	4/27/2020 3:06:09 PM	94
0	4/27/2020 3:06:49 PM	1
1	4/27/2020 3:06:50 PM	94
0	4/27/2020 3:07:06 PM	1
1	4/27/2020 3:07:07 PM	94
1	4/27/2020 3:08:46 PM	1
7	4/27/2020 3:08:53 PM	41
0	4/27/2020 3:09:01 PM	1
2	4/27/2020 3:09:02 PM	41
0	4/27/2020 3:09:11 PM	1
1	4/27/2020 3:09:12 PM	0
4	4/27/2020 3:09:27 PM	1
4	4/27/2020 3:10:47 PM	1
15	4/27/2020 3:10:58 PM	95
8	4/27/2020 3:13:24 PM	1
14	4/27/2020 3:13:30 PM	1
2	4/27/2020 3:13:58 PM	1
3	4/27/2020 3:13:59 PM	41
3	4/27/2020 3:14:36 PM	1
7	4/27/2020 3:14:41 PM	35
2	4/27/2020 3:14:58 PM	1
2	4/27/2020 3:14:58 PM	0
2	4/27/2020 3:15:07 PM	1
3	4/27/2020 3:15:08 PM	35
2	4/27/2020 3:15:46 PM	1
3	4/27/2020 3:15:47 PM	35
2	4/27/2020 3:16:22 PM	1
3	4/27/2020 3:16:23 PM	8
