8	4/10/2020 10:52:56 PM	1
3	4/10/2020 10:53:25 PM	1
1	4/13/2020 7:47:17 PM	1
0	4/13/2020 7:47:51 PM	1
1	4/13/2020 7:50:13 PM	1
0	4/13/2020 7:51:13 PM	1
12	4/13/2020 7:51:56 PM	1
3	4/13/2020 7:54:44 PM	1
3	4/13/2020 7:55:17 PM	1
7	4/13/2020 7:57:24 PM	1
4	4/13/2020 7:58:00 PM	1
3	4/13/2020 8:28:00 PM	1
19	4/13/2020 8:28:16 PM	41
3	4/13/2020 8:28:55 PM	1
3	4/13/2020 8:28:55 PM	41
4	4/13/2020 8:31:51 PM	1
4	4/13/2020 8:34:30 PM	1
10	4/13/2020 8:34:35 PM	39
3	4/13/2020 8:35:09 PM	1
3	4/13/2020 8:35:10 PM	39
12	4/13/2020 8:35:29 PM	1
10	4/13/2020 8:35:50 PM	1
18	4/13/2020 8:36:34 PM	39
56	4/13/2020 8:36:36 PM	39
10	4/13/2020 8:44:00 PM	1
16	4/13/2020 8:44:07 PM	39
3	4/13/2020 9:08:52 PM	1
9	4/13/2020 9:08:58 PM	1
3	4/13/2020 9:09:17 PM	1
4	4/13/2020 9:09:17 PM	0
3	4/13/2020 9:09:28 PM	1
4	4/13/2020 9:09:29 PM	34
2	4/13/2020 9:49:54 PM	1
15	4/13/2020 9:50:07 PM	43
